;Data de transmissão;SEG;TER;QUA;QUI;SEX;SÁB;DOM;Média semanal;edicao
0;12/01 a 16/01/2010;—;30;32;30;28;26;24;28.3;10
1;18/01 a 24/01/2010;33;30;31;30;31;26;21;28.9;10
2;25/01 a 31/01/2010;29;29;33;31;32;28;22;29.1;10
3;01/02 a 07/02/2010;31;33;30;31;32;26;24;29.6;10
4;08/02 a 14/02/2010;33;31;33;30;32;28;14;28.7;10
5;15/02 a 21/02/2010;24;29;31;33;33;29;24;29.0;10
6;22/02 a 28/02/2010;33;34;35;32;31;32;25;31.7;10
7;01/03 a 07/03/2010;35;33;38;33;33;33;23;32.6;10
8;08/03 a 14/03/2010;35;33;38;33;35;31;23;32.6;10
9;15/03 a 21/03/2010;35;36;37;34;33;32;25;33.1;10
10;22/03 a 28/03/2010;37;37;37;33;37;35;28;34.9;10
11;29/03 a 30/03/2010;36;41;—;—;—;—;—;38.5;10
12;12/01 a 30/03/2010;Média da edição;Média da edição;Média da edição;Média da edição;Média da edição;Média da edição;Média da edição;31.0;10
13;11/01 a 16/01;—;35;33;30;31;25;22;29.0;11
14;17/01 a 23/01;29;28;27;24;26;21;18;25.0;11
15;24/01 a 30/01;26;27;30;26;26;21;23;26.0;11
16;31/01 a 06/02;29;28;33;26;24;20;18;25.0;11
17;07/02 a 13/02;29;28;29;25;26;19;20;25.0;11
18;14/02 a 20/02;28;26;28;26;24;22;17;24.0;11
19;21/02 a 27/02;26;26;32;24;28;22;18;25.0;11
20;28/02 a 06/03;27;27;31;26;31;22;16;26.0;11
21;07/03 a 13/03;29;25;32;26;25;23;20;26.0;11
22;14/03 a 20/03;24;23;30;26;25;24;17;24.0;11
23;21/03 a 27/03;27;26;29;22;26;23;20;24.0;11
24;28/04 a 29/03;29;29;—;—;—;—;—;29.0;11
25;11/01 a 29/03;Média da edição;Média da edição;Média da edição;Média da edição;Média da edição;Média da edição;Média da edição;26.0;11
26;10/01 a 15/01/2012;—;33;35;32;27;27;20;29.0;12
27;16/01 a 22/01;36;31;30;26;28;29;16;28.0;12
28;23/01 a 29/01;28;26;31;26;28;25;18;26.0;12
29;30/01 a 05/02;28;26;35;26;27;23;16;26.0;12
30;06/02 a 12/02;28;25;34;25;28;23;17;26.0;12
31;13/02 a 19/02;28;23;34;25;26;24;13;25.0;12
